Book Id,Title,Author,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Exclusive Shelf,My Review,Read Count
59701185,"Style of Love (Gay 4 Renovations, #1)",A.J. Sherwood,,,,0,4.08,,Kindle Edition,291,2022,2022,,2022/04/07,"to-read, downloaded",to-read,,0
139087,The Line of Beauty,Alan Hollinghurst,,0739464469,9780739464465,0,3.75,Bloomsbury,Paperback,438,2004,2004,,2022/04/07,"gay-lit, to-read, sad-stuff",to-read,,0
36336078,"Call Me By Your Name (Call Me By Your Name, #1)",André Aciman,,1786495252,9781786495259,5,4.10,Atlantic Books,Paperback,248,2017,2007,,2022/04/07,,read,,1
56817262,Less Is Lost (Arthur Less #2),Andrew Sean Greer,,0316301396,9780316301398,0,3.72,"Little, Brown and Company",Hardcover,304,2022,2022,,2022/04/07,"gay-fluff, to-read",to-read,,0
41150487,"Red, White & Royal Blue",Casey McQuiston,,,,3,4.08,St. Martin's Griffin,Paperback,448,2019,2019,,2022/04/07,gay-fluff,read,,1
16842,A Single Man,Christopher Isherwood,,0816638624,9780816638628,0,4.07,Univ Of Minnesota Press,Paperback,186,2001,1964,,2022/04/07,"gay-lit, to-read",to-read,,0
3103,Maurice,E.M. Forster,,0393310329,9780393310320,0,4.08,W. W. Norton  Company,Paperback,256,2005,1971,,2022/04/07,to-read,to-read,,0
17798649,"Try (Temptation, #1)",Ella Frank,,,,4,4.15,,Kindle Edition,353,2013,2013,,2022/04/07,gay-smut,read,,1
22822858,A Little Life,Hanya Yanagihara,,,,0,4.32,Doubleday,Hardcover,720,2015,2015,,2022/04/07,"gay-lit, to-read",to-read,,0
8481480,Life After Joe,Harper Fox,,1426890362,9781426890369,0,3.89,Carina Press,ebook,115,2010,2010,,2022/04/07,"gay-fluff, to-read",to-read,,0
220755,Comfort and Joy,Jim Grimsley,,1565123964,9781565123960,0,4.05,Algonquin Books,Paperback,304,2003,1993,,2022/04/07,"gay-lit, to-read",to-read,,0
20640467,Always (Always & Forever #1),Kindle Alexander,,,9780989117395,0,4.18,Kindle Alexander LLC,ebook,280,2014,2014,,2022/04/07,"gay-fluff, currently-reading",currently-reading,,1
5199022,"Cut & Run (Cut & Run, #1)",Madeleine Urban,Abigail Roux,193519223X,9781935192237,5,4.02,Dreamspinner Pr,Paperback,376,2008,2008,2022/04/24,2022/04/07,audio,read,,1
11250317,The Song of Achilles,Madeline Miller,,1408816032,9781408816035,0,4.32,Bloomsbury Publishing,Hardcover,352,2011,2011,,2022/04/07,"to-read, gay-lit, downloaded",to-read,,0
98095,Tangled Sheets,Michael Thomas Ford,,073944915X,,0,3.84,Kensington ,Paperback,,2009,2004,,2022/04/07,to-read,to-read,,0
20646135,Broken,Nicola Haken,,,,0,4.24,,ebook,404,2016,2016,,2022/04/07,"gay-fluff, currently-reading",currently-reading,,1
25963015,"Crossroads (Crossroads, #1)",Riley Hart,,,,4,4.05,Riley Hart,Kindle Edition,340,2015,2015,,2022/04/07,gay-fluff,read,,1
36135552,"Riven (Riven, #1)",Roan Parrish,,1524799327,,0,4.03,Loveswept,Kindle Edition,220,2018,2018,,2022/04/07,"fanfic-adjacent, currently-reading",currently-reading,,1
25686927,"Him (Him, #1)",Sarina Bowen,Elle Kennedy,1942444079,9781942444077,4,4.24,Rennie Road Books,ebook,360,2015,2015,2022/04/19,2022/04/07,gay-fluff,read,,1
54738255,If This Gets Out,Sophie Gonzales,Cale Dietrich,1250805805,9781250805805,0,3.92,Wednesday Books,Hardcover,404,2021,2021,,2022/04/07,"fanfic-adjacent, currently-reading",currently-reading,,1
17237214,Two Boys Kissing,David Levithan,,0307931900,9780307931900,0,4.08,Knopf Books for Young Readers,Hardcover,200,2013,2013,,2022/04/08,"gay-lit, to-read",to-read,,0
22929602,What Belongs to You,Garth Greenwell,,0374288224,9780374288228,0,3.77,"Farrar, Straus and Giroux",Hardcover,195,2016,2016,,2022/04/08,"to-read, gay-lit, sad-stuff",to-read,,0
10213367,"Something Like Summer (Something Like, #1)",Jay Bell,,,9781458015327,0,4.02,Smashwords,ebook,293,2011,2011,,2022/04/08,,read,,1
12156759,"Bear, Otter, and the Kid (Bear, Otter, and the Kid, #1)",T.J. Klune,,,,0,4.18,Dreamspinner Press,Paperback,350,2011,2011,,2022/04/08,"gay-fluff, currently-reading",currently-reading,,1
51723601,Le Berceau,Julius Eks,,,9781635556889,0,3.33,"Bold Strokes Books, Inc.",ebook,,2020,2020,,2022/04/12,to-read,to-read,,0
58851852,Dearest Milton James,N.R. Walker,,,,0,4.46,BlueHeart Press,Kindle Edition,228,2021,2021,,2022/04/12,to-read,to-read,,0
55943660,Paint Eater,Marina Vivancos,,,,0,4.14,,Kindle Edition,196,2020,2020,,2022/04/13,"gay-fluff, currently-reading",currently-reading,,1
49894219,"In the Middle of Somewhere (Middle of Somewhere, #1)",Roan Parrish,,,9781949749021,0,4.16,Monster Press,ebook,416,2019,2015,,2022/04/13,gay-lit,read,,1
25824500,"Helping Hand (Housemates, #1)",Jay Northcote,,,9781310322075,0,3.74,Jay Northcote,ebook,107,2015,2015,,2022/04/14,currently-reading,currently-reading,,1
43192444,"Dedicated (Rhythm of Love, #1)",Neve Wilder,,,,4,4.12,,Kindle Edition,328,2018,2018,,2022/04/14,,read,,1
40539136,Lie With Me,Philippe Besson,Molly Ringwald,1501197878,9781501197871,0,4.26,Scribner,Hardcover,149,2019,2017,,2022/04/14,"gay-lit, to-read, sad-stuff",to-read,,0
57239496,"These Vile Secrets (Enclave, #1)",C.E. Ricci,,,9798715081469,0,4.18,Independently published,Paperback,449,2021,2021,,2022/04/15,"to-read, dnf",to-read,,0
58511930,Don't You Dare,C.E. Ricci,,,,0,4.06,,Kindle Edition,412,2022,2022,,2022/04/15,currently-reading,currently-reading,,1
56703218,"After Rain Falls (River of Rain, #2)",C.E. Ricci,,,,0,4.16,,Kindle Edition,307,2021,2021,,2022/04/15,to-read,to-read,,0
58786365,"Where There's a Will (Lost Boys, #1)",Jessie  Walker,,,,0,4.29,,Kindle Edition,503,2021,2021,,2022/04/15,currently-reading,currently-reading,,1
56156325,Love Is a Stranger (More Heat Than the Sun #1),John  Wiltshire,,,,0,4.04,Decent Fellows Press,Kindle Edition,507,2021,2014,,2022/04/15,currently-reading,currently-reading,,1
39986927,"You, Me & Her (My Guys Series)",Tanya Chris,,,,4,4.18,Tanya Chris Publishing,Kindle Edition,279,2018,2018,,2022/04/15,,read,,1
33280694,"At Attention (Out of Uniform, #2)",Annabeth Albert,,,,0,3.98,Carina Press,Kindle Edition,276,2017,2017,,2022/04/16,currently-reading,currently-reading,,1
37647452,"Where Death Meets the Devil (Death and the Devil, #1)",L.J. Hayward,,1626497168,9781626497160,0,4.15,Riptide Publishing,ebook,395,2018,2018,,2022/04/16,currently-reading,currently-reading,,1
26085125,"Point of No Return (Turning Point, #1)",N.R. Walker,,,,0,4.03,Pride Publishing,ebook,263,2015,2012,,2022/04/16,,read,,1
58896219,"King of Thieves (Frat Wars, #1)",Saxon James,,,,0,4.11,May Books,Kindle Edition,272,2021,2021,,2022/04/16,currently-reading,currently-reading,,1
22399098,Complementary Colors,Adrienne Wilder,,,,0,4.24,Adrienne Wilder,ebook,320,2014,2014,,2022/04/19,to-read,to-read,,0
55358046,"Just a Bit Wrong (Straight Guys, #4)",Alessandra Hazard,,,,0,4.06,,Kindle Edition,235,2015,2015,,2022/04/19,currently-reading,currently-reading,,1
10821000,The Locker Room,Amy Lane,,1613720122,9781613720127,0,4.12,Dreamspinner Press,ebook,250,2011,2011,,2022/04/19,currently-reading,currently-reading,,1
22735684,"Beneath the Stain (Beneath the Stain, #1)",Amy Lane,,,9781632165107,0,4.41,Dreamspinner Press,ebook,350,2014,2014,,2022/04/19,currently-reading,currently-reading,,1
